entity	log_frequency
Barack Obama	10.564085714610725
Hillary Clinton	9.12543586488574
Sigmund Freud	8.92996487470684
J.K. Rowling	8.141481041457421
Freddie Mercury	6.954638864880987
Britney Spears	8.214194414852564
Scarlett Johansson	6.717804695023691
Robert De Niro	7.5411524551363085
Israele	11.971033622802898
Sud Africa	11.9109496244238
New York	13.623212601977375
Rio De Janeiro	11.110371116488025
Cascate del Niagara	8.430545384690566
Mar dei Caraibi	8.78615105486974
Muraglia Cinese	6.874198495453294
Piramidi di Giza	5.863631175598097
Machu Picchu	6.289715570908998
Canada	13.023188137870509
