entity	frequency
Barack Obama	38719
Hillary Clinton	9186
Sigmund Freud	7555
J.K. Rowling	3434
Freddie Mercury	1048
Britney Spears	3693
Scarlett Johansson	827
Robert De Niro	1884
Israele	158108
Sud Africa	148888
New York	825061
Rio De Janeiro	66861
Cascate del Niagara	4585
Mar dei Caraibi	6543
Muraglia Cinese	967
Piramidi di Giza	352
Machu Picchu	539
Canada	452792
