entity	log_frequency
politico	2.9444389791664403
Silvio Berlusconi	5.225746673713202
Barack Obama	4.90527477843843
Hillary Clinton	3.258096538021482
Vladimir Putin	5.209486152841421
scrittore	5.318119993844216
Sigmund Freud	4.919980925828125
J.K. Rowling	1.9459101490553132
Ernest Hemingway	4.382026634673881
William Shakespeare	4.6443908991413725
musicista	3.091042453358316
Freddie Mercury	2.833213344056216
Bob Dylan	5.209486152841421
Madonna	4.5217885770490405
Wolfgang Amadeus Mozart	4.189654742026425
attore	5.857933154483459
Quentin Tarantino	4.248495242049359
Scarlett Johansson	1.791759469228055
Marylin Monroe	2.0794415416798357
Woody Allen	3.1354942159291497
stato	5.820082930352362
Spagna	5.318119993844216
Israele	4.90527477843843
Germania	5.780743515792329
Regno Unito	5.652489180268651
città	6.338594078203183
Roma	5.187385805840755
Parigi	5.420534999272286
New York	5.697093486505405
Amsterdam	4.90527477843843
corso d'acqua	2.0794415416798357
Mar Mediterraneo	4.07753744390572
Oceano Atlantico	5.1298987149230735
Nilo	4.30406509320417
Oceano Pacifico	4.204692619390966
monumento	4.110873864173311
Torre di Pisa	1.3862943611198906
Stonehenge	4.219507705176107
Sagrada Familia	2.995732273553991
Macchu Picchu	4.454347296253507
