entity	log_frequency
politico	4.174387269895637
Silvio Berlusconi	5.043425116919247
Barack Obama	3.1780538303479458
Hillary Clinton	3.828641396489095
Vladimir Putin	2.1972245773362196
scrittore	4.189654742026425
Sigmund Freud	1.3862943611198906
J.K. Rowling	3.5263605246161616
Ernest Hemingway	1.6094379124341003
William Shakespeare	4.477336814478207
musicista	4.0943445622221
Freddie Mercury	3.2188758248682006
Bob Dylan	3.58351893845611
Madonna	4.927253685157205
Wolfgang Amadeus Mozart	4.955827057601261
attore	4.736198448394496
Quentin Tarantino	1.791759469228055
Scarlett Johansson	2.4849066497880004
Marylin Monroe	3.091042453358316
Woody Allen	2.833213344056216
stato	6.003887067106539
Spagna	4.624972813284271
Israele	4.912654885736052
Germania	5.472270673671475
Regno Unito	4.804021044733257
città	6.169610732491456
Roma	5.332718793265369
Parigi	5.0238805208462765
New York	5.3471075307174685
Amsterdam	4.189654742026425
corso d'acqua	2.1972245773362196
Mar Mediterraneo	4.219507705176107
Oceano Atlantico	3.7612001156935624
Nilo	3.9318256327243257
Oceano Pacifico	3.332204510175204
monumento	2.772588722239781
Torre di Pisa	1.791759469228055
Stonehenge	3.1780538303479458
Sagrada Familia	2.833213344056216
Macchu Picchu	3.912023005428146
