entity	frequency
Barack Obama	163
Hillary Clinton	571
Sigmund Freud	133
J.K. Rowling	258
Freddie Mercury	17
Britney Spears	426
Scarlett Johansson	247
Robert De Niro	62
Israele	128
Sud Africa	93
New York	279
Rio De Janeiro	120
Cascate del Niagara	73
Mar dei Caraibi	24
Muraglia Cinese	75
Piramidi di Giza	57
Machu Picchu	86
Canada	127
