entity	frequency
politico	65
Silvio Berlusconi	155
Barack Obama	24
Hillary Clinton	46
Vladimir Putin	9
scrittore	66
Sigmund Freud	4
J.K. Rowling	34
Ernest Hemingway	5
William Shakespeare	88
musicista	60
Freddie Mercury	25
Bob Dylan	36
Madonna	138
Wolfgang Amadeus Mozart	142
attore	114
Quentin Tarantino	6
Scarlett Johansson	12
Marylin Monroe	22
Woody Allen	17
stato	405
Spagna	102
Israele	136
Germania	238
Regno Unito	122
città	478
Roma	207
Parigi	152
New York	210
Amsterdam	66
corso d'acqua	9
Mar Mediterraneo	68
Oceano Atlantico	43
Nilo	51
Oceano Pacifico	28
monumento	16
Torre di Pisa	6
Stonehenge	24
Sagrada Familia	17
Macchu Picchu	50
