entity	frequency
politico	261226
Silvio Berlusconi	2659
Barack Obama	38719
Hillary Clinton	9186
Vladimir Putin	9301
scrittore	653101
Sigmund Freud	7555
J.K. Rowling	3434
Ernest Hemingway	12663
William Shakespeare	34159
musicista	97678
Freddie Mercury	1048
Bob Dylan	20851
Madonna	18343
Wolfgang Amadeus Mozart	14651
attore	381357
Quentin Tarantino	2678
Scarlett Johansson	827
Marylin Monroe	5130
Woody Allen	2287
stato	936645
Spagna	216384
Israele	158108
Germania	1384228
Regno Unito	726941
città	1123106
Roma	144978
Parigi	268207
New York	825061
Amsterdam	45225
corso d'acqua	8709
Mar Mediterraneo	10364
Oceano Atlantico	207492
Nilo	15178
Oceano Pacifico	222256
monumento	82185
Torre di Pisa	273
Stonehenge	1920
Sagrada Familia	386
Macchu Picchu	550
