entity	frequency
Barack Obama	146
Hillary Clinton	67
Sigmund Freud	117
J.K. Rowling	33
Freddie Mercury	53
Britney Spears	72
Scarlett Johansson	12
Robert De Niro	22
Israele	121
Sud Africa	54
New York	95
Rio De Janeiro	30
Cascate del Niagara	27
Mar dei Caraibi	18
Muraglia Cinese	11
Piramidi di Giza	30
Machu Picchu	54
Canada	77
